c_accountid,d_observation_date,c_entity, n_account_balance ,d_acq_date,n_active_num,n_tel_notel,d_last_payment_date,n_pay_30,n_pay_60,n_pay_90,n_pay_180,n_pay_count_30,n_pay_count_60,n_pay_count_90,n_pay_count_180,c_type_of_portfolio_rap,d_last_sms_date,n_sms_count,d_rpc_date,n_deceased,n_bancrupcy_failed_lawsuits_etc,d_lawsuit_date,d_payment_order_date,d_title_day,d_execution_date,d_unsuccesfull_exe_date,d_maturity_date,n_in_dialler_obs_day,n_arrangement_active,d_inactivation_date,d_last_broken_date,c_subregion,gender,age,d_last_inbound_date,Target_Amount,Target
4171774,01/01/2022,Entity 1, 491.67 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,22/03/2015,1,0,,,Subregion_11,M,34,,0,0
4171800,01/01/2022,Entity 1, 961.12 ,13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,15/07/2018,30/08/2018,04/11/2018,01/03/2021,25/06/2019,20/09/2015,1,0,,,Subregion_3,M,48,,0,0
4171878,01/01/2022,Entity 1, 693.49 ,13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,,,,,,20/10/2014,1,0,,,Subregion_28,M,71,,0,0
4173472,01/01/2022,Entity 1," 1,905.76 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,24/04/2015,1,0,,,NULL,M,50,,0,0
4176391,01/01/2022,Entity 1, 367.76 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,6,,0,0,23/07/2018,30/08/2018,06/10/2018,09/10/2018,29/11/2020,18/12/2015,1,0,,,Subregion_29,M,46,,0,0
4176583,01/01/2022,Entity 1," 1,068.78 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,,,,,,16/05/2015,1,0,,31/08/2021,NULL,K,30,,0,0
4181347,01/01/2022,Entity 1, 401.46 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,23/07/2018,10/09/2018,26/11/2018,27/11/2018,07/12/2019,28/09/2015,1,0,,,Subregion_5,M,29,,0,0
4182129,01/01/2022,Entity 1, 475.75 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,15/07/2018,,,,,02/09/2015,1,0,,,Subregion_48,M,46,,0,0
4182169,01/01/2022,Entity 1," 1,837.24 ",13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,22/09/2014,1,0,,,Subregion_43,M,48,,0,0
4182215,01/01/2022,Entity 1," 1,400.38 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,23/01/2015,1,0,,,Subregion_50,M,45,,0,0
4183715,01/01/2022,Entity 1," 1,114.41 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,1,,0,0,16/07/2018,10/09/2018,04/11/2018,06/11/2018,,13/12/2015,1,0,,,Subregion_65,M,66,,0,0
4183834,01/01/2022,Entity 1, 323.04 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,25/04/2015,1,0,,,Subregion_49,M,39,,224,1
4187349,01/01/2022,Entity 3, 433.37 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,22/07/2019,02/09/2019,03/12/2019,07/12/2019,,20/09/2016,1,0,,,Subregion_43,M,42,,0,0
4187410,01/01/2022,Entity 3," 4,065.92 ",02/09/2018,2,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,1,,0,0,21/07/2019,24/12/2019,04/02/2020,23/02/2020,,30/07/2016,1,0,,,Subregion_28,K,36,,0,0
4172088,01/01/2022,Entity 1," 5,264.56 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,16/07/2018,07/08/2018,06/10/2018,09/10/2018,09/05/2020,30/01/2016,1,0,,,Subregion_65,K,34,,0,0
4175029,01/01/2022,Entity 1," 1,786.00 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,16/07/2018,19/08/2018,13/01/2019,21/01/2019,,28/08/2015,1,0,,,Subregion_43,K,39,,0,0
4175073,01/01/2022,Entity 1, 679.29 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,28/12/2021,6,27/12/2021,0,0,,,,,,21/04/2014,1,1,,,Subregion_50,K,50,,200,1
4181696,01/01/2022,Entity 1, 986.23 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,22/02/2015,1,0,,,NULL,M,41,,0,0
4181795,01/01/2022,Entity 1," 1,663.48 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,,,,,,27/01/2015,1,0,,,Subregion_6,M,35,,0,0
4181819,01/01/2022,Entity 1," 3,033.28 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,16/07/2018,,,,,12/12/2015,1,0,,,Subregion_52,M,36,,0,0
4181986,01/01/2022,Entity 1, 332.33 ,13/04/2018,3,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,23/07/2018,10/08/2018,24/11/2018,27/11/2018,07/12/2019,25/01/2016,1,0,,,Subregion_48,M,35,,0,0
4188920,01/01/2022,Entity 3, 504.22 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,22/07/2019,17/09/2019,11/11/2019,18/11/2019,,31/07/2016,1,0,,,Subregion_28,M,64,,268.94,1
4178002,01/01/2022,Entity 1, 482.29 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,01/07/2018,17/07/2018,10/09/2018,04/10/2019,06/04/2021,31/07/2015,1,0,,,Subregion_6,K,32,,0,0
4178115,01/01/2022,Entity 1," 3,301.27 ",13/04/2018,5,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,02/06/2015,1,0,,,Subregion_28,M,39,,0,0
4178218,01/01/2022,Entity 1, 459.37 ,13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,22/11/2014,1,0,,,NULL,K,63,,0,0
4180976,01/01/2022,Entity 1," 4,178.34 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,6,,0,0,03/06/2018,15/06/2018,26/08/2018,02/09/2018,10/05/2020,28/06/2015,1,0,11/10/2021,24/10/2021,Subregion_28,M,37,,0,0
4182476,01/01/2022,Entity 1, 517.41 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,,,,,,20/05/2015,1,0,,,Subregion_11,M,64,,0,0
4185716,01/01/2022,Entity 1," 2,466.94 ",13/04/2018,4,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,6,,0,0,23/11/2018,14/01/2019,13/05/2019,25/06/2019,,25/12/2014,1,0,,,Subregion_14,M,37,,0,0
4185882,01/01/2022,Entity 1, 531.22 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,4,,0,0,15/07/2018,,,,,01/10/2015,1,0,,,Subregion_28,K,38,,0,0
4186949,01/01/2022,Entity 3, 387.27 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,1,,0,0,27/07/2019,16/11/2019,07/04/2020,08/05/2020,,20/08/2016,1,0,,,Subregion_49,M,36,,0,0
4173572,01/01/2022,Entity 1," 1,092.26 ",13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,16/07/2018,03/08/2018,15/09/2018,28/09/2018,,30/01/2016,1,0,,,Subregion_25,M,82,,0,0
4173731,01/01/2022,Entity 1," 1,462.92 ",13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,16/07/2018,16/09/2018,23/12/2018,03/04/2021,31/12/2019,30/01/2016,1,0,,,NULL,K,34,,0,0
4178289,01/01/2022,Entity 1," 3,682.16 ",13/04/2018,3,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,16/07/2018,14/09/2018,04/12/2018,28/12/2018,,29/11/2015,1,0,,,NULL,M,28,,0,0
4181155,01/01/2022,Entity 1," 5,845.98 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,16/07/2018,24/08/2018,30/09/2018,09/10/2018,10/05/2020,24/10/2015,1,0,,,Subregion_28,M,58,,0,0
4185037,01/01/2022,Entity 1," 1,614.26 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,6,05/11/2021,0,0,20/11/2018,28/12/2018,,,,31/08/2014,1,0,,,Subregion_21,M,61,,50,1
4185097,01/01/2022,Entity 1, 318.51 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,26/05/2015,1,0,,,Subregion_28,M,61,,0,0
